name,description,ingredients,steps,tags,minutes,id
Tuver na Totha,"Tuver na totha is simple, spicy and delicious North Gujarati winter recipe. Dry lentil is used to make this simple recipe. I used onion and spring onion with red chili, garlic, ginger to make tuver na totha.","1 Cup Tuver (lentil),1 cup Tomato puree,1 Onion (chopped),Ω cup Spring Onion,3 tsp Ginger Chili Paste,3 tsp Garlic (minced),1 Spring Onion for garnishing,Water according to requirement,,1 tbsp Oil,Pinch of Asafetida,Ω tsp Turmeric Powder,2 tsp Red Chili Powder,1 tsp Garam Masala Powder,Salt to taste","Wash and soak tuver in warm water for 4-5 hour.,Drain water from it.,Add 1 glass water and salt in cooker.,Also add tuver and cook for 3-4 whistle at medium to slow flame.,After that you can check tuver.it is not soft, cook for extra 2-3 whistles.,Take 1 tbsp boiled tuver and crushed in a mixture jar.,Keep a side.,Heat oil in a pan at slow flame.,Add asafetida and onion in it.,Stir till color appears light golden.,Now add spring onion, ginger chili paste, garlic and salt in it.,Stir and cook for 1-2 minutes.,Now mix tomato puree and cook for few second.,By adding crushed tuver also cook for 2 minutes,,Now mix salt, turmeric powder, red chili powder, garam masala.,Stir for few seconds.,Add 1 cup water and tuver.,Cook for 10- 15 minutes at slow flame.,You can add more water according to your requirement.,Mix lemon juice to taste.,Garnish with spring onion.,Tuver na totha is ready for serve.","Popular,Vegetables,Winter Special",20,1
Dhokli nu Shaak (Step by Step),"Dhokli nu Shaak is one of famous Kathiyawadi Spicy recipes. This spicy curry is quick and easy to made chickpea recipes. There are many other variant of Dhokli nu shaak like Guvar Dhokli nu shaak, Fansi Dhokli nu shaak, Valor Dhokli nu shaak but here I post simple dhokli nu shaak. This spicy chickpea dumpling curry tastes awesome with rotli and kathiyawadi dish.","100 gm Chickpea flour,Salt to taste,Pinch of Turmeric powder,Ω tsp Chili powder,1 tsp Carom seeds (Ajwin),Pinch of Black Pepper powder,Water according to requirement,,1 tbsp Oil,5-6 Curry leaves,1 tsp Cumin seed,Pinch of Asafetida,Salt to taste,Ω tsp Garam Masala,1 cup Butter milk","Mix chickpea flour, salt, chili powder, turmeric powder, carom seeds, black pepper powder.,Add water and mix well. It should be a batter form.,Boil water in a pan or in dhokla maker.,Grease dish with oil and pour batter on it.,Put dish on pan and cover it.,Cook for 10-15 minutes.,Remove from stove and cut into small pieces. keep  a side.,Heat oil in a pan at slow flame.,Add curry leaves and cumin seeds, asafetida in it.,When it is spluttering, add butter milk in it.,Also add salt and garam masala cook for 3-4 minutes at slow flame.,Mix dhokli in it.,Also cook for 3-4 minutes at slow flame.,Serve hot.",Vegetables,50,2
Kathiyawadi Mix Spicy Shaak,"Kathiyawadi Mix Spicy Shaak is farmerÄôs food. Main ingredient of this spicy Kathiyawadi shaak is Eggplant, Peanut and Curd. This is simple but delicious vegetable recipe. In Kathiyawad, Farmer made these kind of shaak at farm with fresh vegetable. I tried this variant on my way. You can add more vegetable in it but eggplant with peanuts gives the best taste. Curd adds tangy taste in this shaak. Serve hot with Bajri Rotla, Green Chili, Garlic Chutney. I am sure, You will not forget taste.","2 medium sizes Ringan (White Eggplants fine chopped),1 medium size Onion (fine chopped),1.5 tsp Garlic Paste,2 cup Groundnut (crushed),1.5 cup Curd,,1.5 tbsp Oil,Ω tsp Turmeric powder,2 tsp Red Chili powder,1 tsp Cumin coriander powder,1 tsp Garam masala,Salt to taste,","Wash eggplants and cut into very small pieces.,Heat oil in a pan at medium flame and add onion and garlic in it.,Also add eggplants in it and stir well.,Stir till eggplants become very soft.,Then add salt, turmeric powder, red chili powder and cumin coriander powder in it.,Mix well and add groundnuts and garam masala.,Cook for 1-2 minutes.,Last add curd and mix well.,Stir for few seconds and serve.,Serve hot with Rotla .","Vegetables,Winter Special",60,3
Bhinda Batata nu Shaak Äì Aloo Bhindi Subzi,"Bhinda Batata nu Shaak (Aloo Bhindi Subzi Äì Okra Potato Recipe) is one of common and widely used recipe in Gujarat and North India. †It is easy and tasty lunch or dinner subzi. With these simple ingredients, you can make it very quick and easily. This spicy main dish is normally serve with Rotli and any lentil dishes. Must try this classic shallow fry vegetable dish.","250 gm ladyÄôs finger,2 Potatoes,,2 tbsp Oil,º of Cumin seed,Pinch of Asafetida,Ω tsp Turmeric powder,2 tsp Ginger chili paste,2.5 tsp Red chili powder,1 tsp Cumin coriander powder,Salt to taste","Wash ladyÄôs finger, potatoes and cut in to long strip.,Heat oil in a pan and add cumin seeds in it.,When cumin seeds are spluttering, Add asafetida, turmeric powder, ginger chili paste, ladyÄôs finger, potatoes and salt in it.,Stir it properly.,Cook till both become soft.,Also mix cumin coriander powder and red chili powder.,Serve with regular dish.","Daily Meal,Vegetables",40,4
Surti Papdi Nu Shaak,"Surti Papdi nu Shaak is very popular Gujarati winter vegetable. It also known as Indian Beans. Papdi nu shaak is delicious, easy and quick to made vegetable. Normally Surti papdi is seasonal vegetable and available mostly during winter. Papdo nu shaak is serve with Rotli and Gujarati Thali.","200 gm Surti Papdi,Water according to requirement,,1 tbsp Oil,Ω tsp garlic paste,1 tsp Ginger chili paste,1 tsp Red chili powder,º tsp turmeric powder,1tsp cumin- coriander powder,Salt to taste,","Wash and cut papdi.,Boil it in water by adding salt.,Boil till it becomes soft.,Drain water from it.,Now heat oil in a pan at slow flame.,Add garlic, ginger and chili paste.,Also add turmeric powder and papdi in it.,Stir and cook for 1 minute.,Last mix red chili powder and cumin coriander powder in it.,Serve with regular dish.","Vegetables,Winter Special",10,5
Mathri,"MathriI(Flaky Biscuits) is Rajasthani Snack. Mathri is a tea time snack at my home. Mostly north Indian area is famous for this snack but we cannot tell that mathri is not a good home snack of Gujarat. Many types of mathari sell in namkeen shop like sweet mathri, spice mathri, plain mathari, methi mathari, etc. in between I have made it my home as a morning or afternoon snack. My hubby like mathri. Mathri is made by common kitchen ingredients. Though no need for outer ingredients. I have used maida (all purpose flour), wheat flour, salt, carom seeds, black paper powder. Here I took black paper powder but you can also use coarsely cursed black pepper. I have used ghee for softness. Mathri doesnÄôt take more time and easy recipe. But the main point is dough. It should not soft. So we should knead dough hard. So mathari make more soft, so oldies and small children also eat mathari easily. I like mathari with tea, green coriander chutney, and pickle. Enjoy no take more time mathari recipe.","200 gm All Purpose flour,100 gm Wheat flour,2 tsp Carom seeds (Ajwain),Salt to taste,Ω tsp Baking Soda,3 tbsp Ghee,1 tsp Black pepper (crushed)(optional),1 tsp Cumin seeds (optional),Water according to requirement,Oil for frying","Sieve both flours in a bowl.,Add cumin seeds, salt and ghee.,Mix properly and add water.,Knead dough.,It should be hard.,Make medium balls from it.,Press balls with your palm or rolls out each ball in 1.5 inches.,Heat oil in a pan over medium flame.,Fry, all balls till it, appear golden brown in color.,Serve with tea.",Snacks,45,6
Surti Sev Khamani,"Sev Khamni is popular Gujarati Snacks from Surat area. Sev Khamni is traditionally made from Dhokla and also known as Amiri Khaman. Seasoning adds classic tastes in Sev Khamni. This gram lentils snacks is juicy, sweet and tangy. Normally, Sev Khamni is quick breakfast recipe but can match with regular Gujarati dish or as evening snacks also.","250 gm Chana dal,250 gm Sev,,For Seasoning,2 tsp Oil,Ω tsp Mustard seeds,2 tsp GingerÄìChili paste,1 tsp Lemon juice,Ω tbsp Coriander seeds,Salt to taste,2 tbsp Pomegranate,1 tbsp Coriander leaves,Water according to requirement","Soak chana dal for 5-6 hour,Soak chana dal for 5-6 hour and drain water from it.,Grind coarsely.,Now take in a steel tied container and cook for 2-3 whistle in cooker.,Now heat oil in a pan at slow flame.,Add mustard seeds in it.,When it is spluttering, add ginger chili paste, salt, sugar and lemon juice in it.,Stir well for 10-15 minutes and cook till oil is separated.,Now keep in a dish and garnish with Sev, coriander leaves and pomegranate.","Popular,Snacks",12,7
Deep Fry Peanuts,"Deep Fried Peanuts is one of popular snacks food. It widely used in street food. †Fried peanuts is tastes delicious and gives extra texture and flavor. You can add more spices or herbs in this and make more delicious chaat or snacks. By adding Sindhalu Salt(Rock Salt), you can use it as fasting recipe also.","2 cup Peanuts,Salt to taste,1 tsp Red chili powder,1 tsp Cumin-Coriander powder,2 tsp Green Chili (fine chopped),1 tsp Lemon juice,1.5 tbsp Oil","Heat oil in a pan at slow flame.,Shallow fry peanuts till color change.,Keep in a bowl and sprinkle salt, red chili powder, cumin-coriander powder.,Mix green chili and lemon juice on it.,Mix well and serve with any snacks.","Farali,Snacks",12,8
Easy Butter Corn,Butter Corn is all time favorite snacks specially during monsoon. This recipe is simple and can make with lots other variants. More Unsalted butter adds delicious taste in butter corn. I normally prefer corn cobs to make this snacks.,"4 cup Corn (Boiled),Ω tbsp Butter,Salt to taste,1 tsp Black pepper powder,Chili flakes according taste,Grated Cheese (Optional),1 tsp lemon juice,","Remove skin from corn and wash it.,Add water and salt in cooker.,Heat water and add corn in a cooker.,Lid the cooker. Cook for 9-10 whistle.,When air is removed from cooker, open it.,Peel corn by using corn peeler.,Heat butter in a pan and add corn, black pepper powder or chili flakes and lemon juice.,Garnish with grated cheese and serve hot.",Snacks,45,9
Tuver Lilva Kachori,Hot Kachori is one of favorite snacks during Winter and monsoon. Fresh Tuver is widely available during winter. Kachori filled with tuver stuffing & Green Chutney tastes delicious. There are many variants of Lilva Kachori but here I am posting easy and quick methods.,"500 gm Tuver (Pigeon pea),1 tbsp Ginger chili paste,Salt to taste,Pinch of Cumin seeds,Pinch of Asafetida,Ω tsp Turmeric powder,1 tsp Garam masala,1 tsp Lemon juice,Ω tbsp Coriander leaves (chopped),1 tbsp oil,,300 gm all purpose flour (maida),Salt to taste,1 tbsp Ghee,Water according to requirement,4-5 drop oil,Oil for frying","Sieve flour and add salt, ghee in it.,Mix and add water to make dough.,Dough should be not more soft and hard.,Add oil and knead very well.,Keep a side.,Crush tuver in a chili cutter.,Heat oil in a pan at slow flame.,Add cumin seeds in it.,When it is spluttering, add asafetida and turmeric powder.,Also mix tuver, ginger chili paste and salt.,Cover lid and cook till it becomes soft.,Remove lid and mix garam masala and lemon juice.,Cook for 2-3 minutes and add coriander leaves in it.,Make medium balls from dough and roll out like small puri.,Feel stuffing in puri.,Cover it like potli or round shape.,If you make potli , seal all edge properly.,Heat oil in a pan at medium flame.,Deep fry kachori till golden brown appearance.,Serve with Green Chutney and sweet chutney.","Popular,Snacks,Winter Special",78,10
Mamra Na Ladoo (Puffed Rice Balls),,"150 gm Mamra,250 gm Jaggery,Ω tbsp Ghee,","Roast mamra.,Heat ghee in a pan at slow flame.,Add shredded jaggery and cook till color change and appears thick.,Add roasted mamra in it.,Mix well. Remove from flame.,Make ladoo shape from mixture.,Mamra ladoo is ready for serve.","Feature,Snacks,Sweets,Winter Special",121,11
Sandwich Dhokla,"Sandwich Dhokla is spicy variant of famous Gujarati snacks Dhokla. Sandwich dhokla is spicer version of White Dhokla, made from rice and udad dal. †In this recipe, chutney is used in between two white dhokla or two different types of dhoklas. You can try with combination of white and yellow dhoklas or your own creations. Preparing Sandwich Dhokla is as easy as other dhoklas.","1 cup Jeerasar or Basmati Rice,1/4 cup Urad dal (Black gram dal),1 cup Curd,1.5 tsp Baking soda or fruit salt,2 tsp Ginger chili paste,2 tbsp Coriander Chutney,Salt to taste,Water according to requirement,,Ω tbsp Oil,1 tsp Mustard seeds,5-6 Curry leaves,Ω tsp Sesame seeds,","Wash and soak rice and urad dal in water for 4-5 hour separately.,After 4-5 hours, drain water from both.,Grind it in mixture jar with curd and water according requirement.,Grind till it become like medium batter.,It should not be very thick or thin.,Keep it in a warm place for 5-6 hour for fermentation.,In a bowl, add salt and eno in it. Mix properly.,Heat water in a steamer at medium flame.,Grease plates with oil.,Now pour1/4 cup batter in it.,Cover lid and cook for approx 5 minutes.,Pour chutney on it and again pour 1/4 cup batter on it.,Again cover lid and cook for 10-15 minutes.,Open and check with knife.,Remove plate from steamer and cut into square pieces.,Heat oil in a pan at slow flame.,Add curry leaves, mustard seeds, sesame seeds in it.,When it is spluttering, pour this seasoning on Dhokla.,Mix well and serve with coriander chutney.","Farsan,Side Dish",20,12
Chorafali or Chorafali Fafda,Chorafali or Chorafali Fafda is Gujarati festival snack specially on Vijayadashmi and Diwali. This gluten free crispy vegan snack is perfect for munching and evening snacks. Combination of chickpea flour and urad flour gives awesome tastes. †I often made this recipe during summer vacations.,"250 gm Chickpea flour (Besan),100 gm Urad flour,1 tbsp Rice flour,Pinch of Baking soda,1 tbsp Oil,Salt to Taste,Oil for Frying,1 tsp Black salt,1 tsp Red chili powder,1 cup warm Water,","First take chickpea flour and Urad flour in mixing bowl.,Add salt, soda, 1 tbsp oil and mix well.,Add water and make medium dough.,Add 1 tsp oil and again knead dough.,Make medium balls from it.,Cover balls with rice flour and roll out each roll like thin roti.,Cut them in to long strips.,Heat oil in a pan at medium flame.,Fry all strip in it.,Sprinkle black salt and red chili powder.,Chorafali is ready for serve, serve with Mint chutney.",Farsan,21,13
White Dhokla,White Dhokla (Rice flour Dhokla) is one of the famous Gujarati Dhokla variants. This spongy dhokla is easy to made and one of must recipe in Gujarati Thali.,"1.5 cup Rice (you can use jeerasar or boiled rice),1/2 cup Urad dal (Black gram dal),Salt to taste,2 cup Curd or 4 cup Butter milk,1 small packet Eno or 1.5 tsp Baking soda,1 tbsp Black pepper powder,Water according to requirement,","Wash and soak rice and urad dal in water for 4-5 hour separately.,After 4-5 hours, drain water from both.,Grind it in mixture jar with butter milk and water according requirement.,Grind till it become medium batter.,It should not be very thick or thin.,Keep it in a warm place for 5-6 hour for fermentation.,In a bowl add salt and eno in it. Mix properly.,Heat water in a steamer at medium flame.,Grease plate with oil.,Now pour approx 2 cup batter in it.,Sprinkle black pepper powder on it.,Cover lid and cook for approx 15 minutes.,Open and check with knife.,Remove plate from steamer and cut into diamond pieces.,Hot serve with Garlic chutney and Green chutney.","Farsan,Snacks",20,14
Quick Thick Poha Chivda,,"150 gm Rice flakes (Pauva),50 gm Ground peanuts,5-6 Curry leaves,1 tbsp Fennel seeds,2 tsp Turmeric powder,1 tbsp Sugar powder,2 tsp Amchur powder,Ω liter Oil for frying,Salt to taste","Heat oil in a pan at medium flame.,Fry peanuts at slow flame in hot oil.,Keep a side also fry one cup rice flakes in that oil.,Repeat for other flakes and keep a side.,Heat 1 tsp oil in a pan and add curry leaves and fennel seeds in it.,Also add turmeric powder and mix with flakes and peanuts.,Stir well, also mix salt, sugar powder and amchur powder.,Thick poha chivda is ready to eat.","Farsan,Snacks",120,15
Gujarati Chakri (Wheat Flour Chakli Recipe),Wheat flour chakli is one of popular snacks. This wheel shape crunchy snacks normally made during festivals specially Janmastami and Diwali. We normally serve chakri with tea and other snacks to guests.,"250 gm wheat flour,2 tbsp Oil,1 tbsp sesame seeds,Salt to taste,Oil for frying,Water according to requirement,1.5 tbsp ginger chili paste,2 tsp turmeric powder,","First take wheat flour in mixing bowl.,Add salt, turmeric powder and mix it.,Tie flour in to the cotton clothes.,Steam it in to cooker and Cook for 15 minutes.,Keep a side and cool down it.,Break the lumps formed.,Sieve the flour in to other vessel.,Add ginger garlic paste, sesame seeds and oil in it.,Knead dough mix 1 tsp oil and also knead it.,Put dough in to frying spoon.,Heat oil in a pan at medium flame.,Press frying spoon to make chakri.,Fry it till it becomes crispy.,Repeat for other chakri.,Take out in to other dish.,Store in to air tied container for 15-20days.","Farsan,Snacks",10,16
Mirch Pakora (Marcha na  Bhajiya),,"150 gm chickpea flour,10 green chilies,Salt to taste,º tsp baking soda,Ω tsp black pepper powder,1 tbsp lemon juice,Water according to requirement,Oil for frying,","Wash chili and cut in to two parts.(long straight cut),Remove seeds from it.,Sprinkle black pepper powder and lemon juice on it. Keep a side.,Sieve flour in bowl.,Add salt, baking soda and 1 tsp lemon juice in it.,Add water and make batter.,Batter should be medium.,Heat oil in a pan at medium flame.,Take 5-6 chili cuts and properly deep in batter.,With help of finger put bhajiya in oil.,Deep fry it till it becomes light golden in color.,Serve with curd chutney, tamarind chutney and green chutney also.","Farsan,Snacks",20,17
Kachi Keri Ki Chutney Äì Raw Mango Chutney,"I usually made Raw Mango chutney during mango season. Kachi keri ki chutney can serve with anything like rotiÄìsubzi, dal-rice or as side dish, even I ate it with toasted bread also. Raw mango chutney tastes sour and sweet. Mango chutney is easy to make and tastes delicious. Sometime I add more chili or chili powder to make it spicier.","2 small row Mangoes,4 Green Chili (chopped),1 tbsp Ground nuts,Salt to taste,Ω tsp Turmeric powder,Ω tsp Sugar,","Pill mangoes and cut into small pieces.,Take mango pieces, chili, ground nuts, turmeric powder salt and sugar in mixture jar.,Mix all ingredients and grind properly.",Chutney,50,18
Mint Chutney Äì Pudina Chutney Äì Green Chutney,"Pudina chutney is a spicy dip. Mint chutney can serve with any Indian snacks like Samosa, Bhel, Pakodas, Kababs, Biryani, Sandwiches, Rice or with main course. It gives delicious fresh tastes and vibrant color in recipes. Mint has good nutrition value also.PrintMint Chutney Äì Pudina Chutney Äì Green ChutneyRating: 51Prep Time: 5 minutesCook Time: 5 minutesTotal Time: 10 minutesServing Size: 4
Ingredients100 gm Mint leaves15 Garlic cloves2 tsp lemon juice4 to 5 green chiliesA small piece of gingerSalt to tasteInstructionsGrind the all ingredients.Add some water and grind again.Mint Chutney is ready to use.NotesServe fresh or store in fridge to maintain its green color and freshness.3.1","100 gm Mint leaves,15 Garlic cloves,2 tsp lemon juice,4 to 5 green chilies,A small piece of ginger,Salt to taste","Grind the all ingredients.,Add some water and grind again.,Mint Chutney is ready to use.",Chutney,60,19
Mango Pickle Äì Aam Ka Achar Äì Keri nu Athanu,Summer means Mango season and Pickle season. Most of Gujarati houses stores whole year mango pickles.,"1 kg Raw Mango,125 gm Coarsely Fenugreek seeds (Kuriya),75 gm Coarsely Mustard seeds (Kuriya),50 gm Coarsely Fennel seeds (kuriya),1 tbsp Black Pepper,1 tbsp Turmeric powder,3 tbsp Red Chili Powder,Salt to taste,Oil according to requirement","Wash mango and cut into 1-2 inch pieces.,Mix turmeric powder and salt in it.,Mix well and remain it in approx 2-3 hour.,During this time, after every half hours mix well.,Then drain water from mango and dry properly.,It should not be moistly.,Heat oil in a pan and allow cooling at room temperature.,Take mango in a bowl and add salt, mustard seeds, fenugreek seeds, black pepper, fennel seeds and red chili powder in it.,Add oil and mix properly.,Keep it in this condition approx 4- 5 hour.,Now store in a glass jar or ceramic jar and add 2 inch oil above the pickle level to store it till next season.","Chutney,Side Dish",40,20
Lemon Chutney,,"1 cup Lemon Juice,Ω tbsp Jaggary,1 tsp Cumin coriander powder,1 tsp Red chili powder,º tsp Garam masala,1 tsp coriander leaves (chopped),Salt to taste",,Chutney,10,21
Ginger Chutney Äì Adrakh ki Chutney,,"2 Dry Red Chilies,Ω tsp Mustard seeds,Ω tsp Cumin seeds,5 Curry leaves,2 tbsp Oil",,Chutney,10,22
Garlic Chutney Äì Losney Chutney,,"30 to 35 cloves garlic,5 tbsp Red Chili powder,5 Spoon Oil,1 tsp Cumin Seed,Salt to taste",,Chutney,45,23
Bharela Tameta (Stuffed Tomato),"Chilled†Tomato is delicious snack or side dish for all season. Here I made variant of Cold Tomato†known†Bharela Tameta in Gujarati. Stuffed tomato is quick and easy to made side dish. Poha stuffing adds delicious taste to chilled tomatoes.
PrintBharela Tameta (Stuffed Tomato)Rating: 51Prep Time: 10 minutesCook Time: 10 minutesTotal Time: 20 minutesServing Size: 4
Ingredients7-8 Tomatoes1 tbsp Coriander leavesFor Stuffing3 tbsp Coconut (grated)1 tbsp Coriander seeds2 tsp Chili pastePinch of turmeric powder2 tsp Red chili powder2 tsp cumin powderSalt to taste2 tsp Sugar powder1 tbsp Ground nut (crushed)1 tsp Garam masalaWater according to requirementInstructionsMix all stuffing ingredients and keep a side.Wash tomatoes and remove its upper part slight.Cut tomato in to 4 parts carefully not whole.Feel stuffing in all tomatoes.Serve as side dish.3.1","7-8 Tomatoes,1 tbsp Coriander leaves,,3 tbsp Coconut (grated),1 tbsp Coriander seeds,2 tsp Chili paste,Pinch of turmeric powder,2 tsp Red chili powder,2 tsp cumin powder,Salt to taste,2 tsp Sugar powder,1 tbsp Ground nut (crushed),1 tsp Garam masala,Water according to requirement","Mix all stuffing ingredients and keep a side.,Wash tomatoes and remove its upper part slight.,Cut tomato in to 4 parts carefully not whole.,Feel stuffing in all tomatoes.,Serve as side dish.","Salad & Raita,Side Dish",12,24
Dahi Vada Äì Dahi Bhalla,"Dahi vada (Dahi Bhalla, Thayir Vadai, Thayir Vada, Perugu Vada, Dahi Bara) is famous Indian Chaat, prepared by soaking dal vadas with dahi. There are many names of dahi vada but all tastes delicious.","1 cup choli (cowÄôs pea dal),1 cup urad dal,Ω cup mung dal,Salt to taste,Oil for frying,2 pinch red chili powder,1 liters  curd,2 tbsp powder sugar,Ω tbsp roasted cumin seeds,Water according to requirement,,Add sugar according taste in to curd,Beat it properly.,","Soak all dals for 4-5 hour.,Drain water from it.,Add water and salt in dal.,Grind it properly in a mixture jar like smooth paste.,Paste should be thick.,Heat oil in a pan at medium flame.,Add and mix 1 tbsp better in a oil with hand.,Fry vadas now.,Take water in a bowl.,Soak vada for1-2 minutes in water.,Slowly press vada with your palm and remove water from it.,Keep a side.,Add 3 pinch salt and powder sugar in curd,Mix it properly.,Now pour curd on vadas and sprinkle roasted cumin seeds and red chili powder.,Garnish with coriander leave.",Salad & Raita,12,25
Homemade Cucumber Raita,"Cucumber Raita is famous Indian raita (Yogurt sauce). Cool yogurts, fresh cucumbers and spices balanced spicy Indian foods. It tastes delicious with paratha and any spicy Indian veg. Mint or cilantro with jeera adds awesome tastes. Raitas serves with biryanis, spicy rice also.","1 Cucumber,2 cup Curd,Salt to taste,1 tsp Sugar powder,º tsp Roasted cumin powder,º tsp Red chili powder,Coriander leaves or Mint leaves for garnish","Peel and grate half cucumber.,Other half cucumber cut in to small pieces.,Beat curd and add salt, sugar.,Mix very well.,Mix grated cucumber and add cucumber pieces in it.,Sprinkle red chili powder and roasted cumin powder.,Garnish with coriander leaves or mint leaves.,Raita is ready for serve.",Salad & Raita,45,26
Crunchy Cabbage Chili Salad Äì Cabbage Chili Sambharo,"Cabbage Chili Sambharo (Crunchy Cabbage Chili Salad) is traditional kathiyawadi salad. Sambharo is easy to made, delicious and†nutrients salad. Like other Sambhara, this cabbage chili sambharoÄôs flavor will win your heart.†Asafetida adds delicious taste in cabbage.","6 cup Cabbage finely chopped,6-7 green Chili (small pieces),,1.5 tbsp Oil,1 tsp Mustard seeds,1 tsp Turmeric powder,Salt to taste","Heat oil in a pan at medium flame.,Add mustard seeds in oil.,When it splutters, add turmeric powder, cabbage,  chili, salt in it and stir it properly.,Cook for 4-5 minutes (till cabbage become soft) at slow flame. DonÄôt cover the lid.,When it becomes soft, Sambharo is ready for serve.,You can serve with Gathiya, Roti, Rotalo, Bhakhari also.","Salad & Raita,Side Dish",78,27
Keri Gajar Nu Athanu Äì Aam ka Achar,"Gujarati People made athanu with raw mangoes and preserve it for whole year. It made from raw mango, mix vegetables, oil and spices. It taste spicy and delicious. There are lots of variant of athanu. Here I made Aam ka achar with carrot. 
PrintKeri Gajar Nu Athanu - Aam ka AcharRating: 51Prep Time: 10 minutesCook Time: 15 minutesTotal Time: 25 minutesServing Size: 4Athanu (Mango Pickle) is traditional Gujarati salad or snacks. Traditionally farmer ate athanu with bhakhri or roti in lunch.Ingredients2 Raw Mangoes2 CarrotsSalt to taste2 tbsp coarsely mustard seedsΩ tbsp fennel seeds2 tsp red chili powderPinch of asafetida3 tbsp oilInstructionsWash and cut carrot into small pieces.Also wash and cut raw mangoes into small pieces.Mix coarsely mustard seeds, fennel seeds, salt, asafetida, red chili powder and oil in itAdd carrot and mango pieces in it.Mix it well.Store in it air tied container in a refrigerator.Serve with Roti, Bhakhari , Paratha and Thepla.NotesYou can add citric acid as a preservative.3.1","2 Raw Mangoes,2 Carrots,Salt to taste,2 tbsp coarsely mustard seeds,Ω tbsp fennel seeds,2 tsp red chili powder,Pinch of asafetida,3 tbsp oil,","Wash and cut carrot into small pieces.,Also wash and cut raw mangoes into small pieces.,Mix coarsely mustard seeds, fennel seeds, salt, asafetida, red chili powder and oil in it,Add carrot and mango pieces in it.,Mix it well.,Store in it air tied container in a refrigerator.,Serve with Roti, Bhakhari , Paratha and Thepla.","Salad & Raita,Side Dish",121,28
